Barcode,BoxNumber,BoxRow,BoxColumn,dateAdded,Round
IM-22-017-PQDC,IM-23-017-02,1,1,1/15/2023,1
IM-23-011-HDIN,IM-23-011-01,1,1,02/10/2023,1
IM-23-011-LDFP,IM-23-011-02,1,1,2/25/2023,1
IM-23-011-RHML,IM-23-011-03,1,1,10/25/2023,2
IM-23-011-YOJF,IM-23-011-04,1,1,10/25/2023,2
IM-23-015-ATAV,IM-23-015-02,1,1,1/21/2023,1
IM-23-015-NRKI,IM-23-015-01,1,1,1/24/2023,1
IM-23-016-DSFN,IM-23-016-02,1,1,3/23/2023,1
IM-23-016-KHPA,IM-23-016-04,1,1,10/23/2023,2
IM-23-016-MHXD,IM-23-016-03,1,1,10/23/2023,2
IM-23-016-VACU,IM-23-016-01,1,1,07/02/2023,1
IM-23-017-CTTN,IM-23-017-03,1,1,8/31/2023,2
IM-23-017-PKXD,IM-23-017-01,1,1,2/14/2023,1
IM-23-017-QMJT,IM-23-017-04,1,1,10/23/2023,2
IM-23-019-FVKB,IM-23-019-04,1,1,10/23/2023,2
IM-23-019-HRSZ,IM-23-019-01,1,1,2/14/2023,1
IM-23-019-OIWU,IM-23-019-03,1,1,09/05/2023,2
IM-23-019-YOOU,IM-23-019-02,1,1,04/05/2023,1
IM-23-030-AAYN,IM-23-030-03,1,1,09/05/2023,2
IM-23-030-OMIM,IM-23-030-04,1,1,9/19/2023,2
IM-23-030-XTLH,IM-23-030-01,1,1,2/25/2023,1
IM-23-034-BJPL,IM-23-034-02,1,1,03/03/2023,1
IM-23-034-JVYC,IM-23-034-04,1,1,9/18/2023,2
IM-23-034-QSQG,IM-23-034-01,1,1,2/14/2023,1
IM-23-034-TKRA,IM-23-034-03,1,1,8/31/2023,2
IM-23-035-GTSA,IM-23-035-01,1,1,2/22/2023,1
IM-23-035-KKXP,IM-23-035-02,1,1,3/15/2023,1
IM-23-036-FSRW,IM-23-036-03,1,1,8/30/2023,2
IM-23-036-KSCK,IM-23-036-02,1,1,03/03/2023,1
IM-23-036-QILV,IM-23-036-04,1,1,10/02/2023,2
IM-23-036-WRRB,IM-23-036-01,1,1,03/07/2023,1
IM-23-040-HUJV,IM-23-040-03,1,1,9/18/2023,2
IM-23-040-NXRW,IM-23-040-04,1,1,9/18/2023,2
IM-23-041-JQAL,IM-23-041-04,1,1,10/17/2023,2
IM-23-041-VXRW,IM-23-041-01,1,1,2/28/2023,1
IM-23-041-YZUA,IM-23-041-02,1,1,3/14/2023,1
IM-23-041-ZJUP,IM-23-041-03,1,1,10/17/2023,2
IM-23-042-AHUW,IM-23-042-04,1,1,11/06/2023,2
IM-23-042-PHWX,IM-23-042-03,1,1,11/06/2023,2
IM-23-042-RHGX,IM-23-042-01,1,1,03/03/2023,1
IM-23-042-ZDUC,IM-23-042-02,1,1,3/14/2023,1
IM-23-044-IJVW,IM-23-044-02,1,1,04/05/2023,1
IM-23-044-OJIB,IM-23-044-04,1,1,10/10/2023,2
IM-23-044-XAHM,IM-23-044-01,1,1,2/28/2023,1
IM-23-044-ZAAN,IM-23-044-03,1,1,10/10/2023,2
IM-23-045-CHGU,IM-23-045-02,1,1,03/02/2023,1
IM-23-045-JGRF,IM-23-045-01,1,1,03/02/2023,1
IM-23-045-UHDP,IM-23-045-03,1,1,10/10/2023,2
IM-23-045-UHGC,IM-23-045-04,1,1,10/11/2023,2
IM-23-046-APQV,IM-23-046-04,1,1,10/02/2023,2
IM-23-046-ISJJ,IM-23-046-03,1,1,9/29/2023,2
IM-23-046-JVLB,IM-23-046-01,1,1,03/02/2023,1
IM-23-046-NLMT,IM-23-046-02,1,1,03/02/2023,1
IM-23-047-KLPK,IM-23-047-03,1,1,8/25/2023,2
IM-23-047-XPVH,IM-23-047-04,1,1,8/25/2023,2
IM-23-054-KQIW,IM-23-054-02,1,1,2/27/2023,1
IM-23-054-PRFM,IM-23-054-03,1,1,10/02/2023,2
IM-23-054-PRKD,IM-23-054-04,1,1,10/02/2023,2
IM-23-054-UIDP,IM-23-054-01,1,1,08/02/2023,1
IM-23-056-APDN,IM-23-056-03,1,1,8/31/2023,2
IM-23-056-LKTW,IM-23-056-04,1,1,11/08/2023,2
IM-23-056-WGKS,IM-23-056-01,1,1,09/02/2023,1
IM-23-060-TAAD,IM-23-060-03,1,1,8/29/2023,2
IM-23-060-TSVC,IM-23-060-01,1,1,04/05/2023,1
IM-23-060-YFPS,IM-23-060-04,1,1,09/05/2023,2
IM-23-063-DSRA,IM-23-063-03,1,1,11/10/2023,2
IM-23-063-JYFO,IM-23-063-04,1,1,11/10/2023,2
IM-23-063-QVMV,IM-23-063-02,1,1,03/06/2023,1
IM-23-063-TDLJ,IM-23-063-01,1,1,03/06/2023,1
IM-23-064-JOWQ,IM-23-064-03,1,1,09/11/2023,2
IM-23-064-KGSV,IM-23-064-01,1,1,03/01/2023,1
IM-23-064-MWHY,IM-23-064-04,1,1,09/11/2023,2
IM-23-071-CPBS,IM-23-071-03,1,1,11/08/2023,2
IM-23-071-FIRH,IM-23-071-04,1,1,11/08/2023,2
IM-23-089-CDXV,IM-23-089-03,1,1,8/28/2023,2
IM-23-089-DJWL,IM-23-089-04,1,1,10/16/2023,2
IM-23-089-DPQN,IM-23-089-01,1,1,1/21/2023,1
IM-23-089-JTNN,IM-23-089-02,1,2,1/23/2023,1
IM-23-090-FAPQ,IM-23-090-03,1,1,,2
IM-23-090-GQGL,IM-23-090-02,1,1,09/02/2023,1
IM-23-090-LBNG,IM-23-090-01,1,1,1/17/2023,1
IM-23-090-VGVW,IM-23-090-04,1,1,8/29/2023,2
IM-23-093-CQSY,IM-23-093-01,1,1,1/18/2023,1
IM-23-093-QGBQ,IM-23-093-02,1,2,1/30/2023,1
IM-23-096-BSOH,IM-23-096-04,1,1,10/16/2023,2
IM-23-096-QQWF,IM-23-096-03,1,1,10/16/2023,2
IM-23-096-QVJH,IM-23-096-01,1,1,1/19/2023,1
