BoxNumber,Barcode,BoxRow,BoxColumn,dateAdded,PlateNumber,PCRPlateLayout,AliquotePlateNumber,AliquotePlatePosition
IM-23-017-02,IM-22-017-PQDC,1,1,1/15/2023,,,,
IM-23-011-01,IM-23-011-HDIN,1,1,2/10/2023,,,,
IM-23-011-02,IM-23-011-LDFP,1,1,2/25/2023,,,,
IM-23-011-03,IM-23-011-RHML,1,1,10/25/2023,,,,
IM-23-011-04,IM-23-011-YOJF,1,1,10/25/2023,,,,
IM-23-015-02,IM-23-015-ATAV,1,1,1/21/2023,,,,
IM-23-015-01,IM-23-015-NRKI,1,1,1/24/2023,,,,
IM-23-016-02,IM-23-016-DSFN,1,1,3/23/2023,,,,
IM-23-016-04,IM-23-016-KHPA,1,1,10/23/2023,,,,
IM-23-016-03,IM-23-016-MHXD,1,1,10/23/2023,,,,
IM-23-016-01,IM-23-016-VACU,1,1,7/2/2023,,,,
IM-23-017-03,IM-23-017-CTTN,1,1,8/31/2023,,,,
IM-23-017-01,IM-23-017-PKXD,1,1,2/14/2023,,,,
IM-23-017-04,IM-23-017-QMJT,1,1,10/23/2023,,,,
IM-23-019-04,IM-23-019-FVKB,1,1,10/23/2023,,,,
IM-23-019-01,IM-23-019-HRSZ,1,1,2/14/2023,,,,
IM-23-019-03,IM-23-019-OIWU,1,1,9/5/2023,,,,
IM-23-019-02,IM-23-019-YOOU,1,1,4/5/2023,,,,
IM-23-030-03,IM-23-030-AAYN,1,1,9/5/2023,,,,
IM-23-030-04,IM-23-030-OMIM,1,1,9/19/2023,,,,
IM-23-030-01,IM-23-030-XTLH,1,1,2/25/2023,,,,
IM-23-034-02,IM-23-034-BJPL,1,1,3/3/2023,,,,
IM-23-034-04,IM-23-034-JVYC,1,1,9/18/2023,,,,
IM-23-034-01,IM-23-034-QSQG,1,1,2/14/2023,,,,
IM-23-034-03,IM-23-034-TKRA,1,1,8/31/2023,,,,
IM-23-035-01,IM-23-035-GTSA,1,1,2/22/2023,,,,
IM-23-035-02,IM-23-035-KKXP,1,1,3/15/2023,,,,
IM-23-036-03,IM-23-036-FSRW,1,1,8/30/2023,,,,
IM-23-036-02,IM-23-036-KSCK,1,1,3/3/2023,,,,
IM-23-036-04,IM-23-036-QILV,1,1,10/2/2023,,,,
IM-23-036-01,IM-23-036-WRRB,1,1,3/7/2023,,,,
IM-23-040-03,IM-23-040-HUJV,1,1,9/18/2023,,,,
IM-23-040-04,IM-23-040-NXRW,1,1,9/18/2023,,,,
IM-23-041-04,IM-23-041-JQAL,1,1,10/17/2023,,,,
IM-23-041-01,IM-23-041-VXRW,1,1,2/28/2023,,,,
IM-23-041-02,IM-23-041-YZUA,1,1,3/14/2023,,,,
IM-23-041-03,IM-23-041-ZJUP,1,1,10/17/2023,,,,
IM-23-042-04,IM-23-042-AHUW,1,1,11/6/2023,,,,
IM-23-042-03,IM-23-042-PHWX,1,1,11/6/2023,,,,
